"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"EED",0.262695989532895,0.558699324324324,-0.572023445013659,0.392,0.25,1
"SRM",0.262865572824313,0.556587837837838,2.73604006920332,0.324,0.281,1
"IFT81",0.263114582117649,0.442356418918919,0.296614502293563,0.284,0.438,1
"MRPL18",0.263357744950755,0.433488175675676,-0.259263665399891,0.554,0.688,1
"NDC1",0.264008980049634,0.459459459459459,-0.634338650864141,0.108,0.188,1
"FDX1",0.264440231528242,0.457136824324324,0.450122195866299,0.122,0.219,1
"ATP6V1AL",0.264804846064495,0.442567567567568,-0.647574478020835,0.297,0.406,1
"FANCG",0.264868045874352,0.456081081081081,-0.676205901451949,0.135,0.219,1
"SLC17A5",0.265108957755476,0.44066722972973,1.18942567344684,0.311,0.5,1
"PRELID3B",0.26534809273015,0.562711148648649,1.28917756149515,0.473,0.406,1
"CTNND2",0.265630916515205,0.565033783783784,0.688248058524908,0.568,0.469,1
"LYRM7",0.265757142900706,0.556798986486487,1.7806159983211,0.338,0.281,1
"PIK3C3",0.266091760213987,0.562922297297297,0.41717831439328,0.5,0.375,1
"NTN4L",0.266257318525693,0.463682432432432,-1.10583073455479,0.081,0.156,1
"ELMSAN1",0.266265917938743,0.463682432432432,-1.26693886028971,0.081,0.156,1
"PRPSAP2",0.266274517078964,0.463682432432432,-0.686500527183218,0.081,0.156,1
"TMEM175",0.266909192271667,0.564189189189189,0.577238466270884,0.514,0.5,1
"ELMO2",0.267170171251755,0.433699324324324,-0.37138385627326,0.541,0.781,1
"SQLE",0.267350131516543,0.557643581081081,0.712637752187176,0.365,0.281,1
"PORCN",0.267545847359586,0.553631756756757,0.424752654112056,0.297,0.219,1
